# name	user	agent_id	created_at	outcome	title	summary
# One session per line, tab-separated. "YESTERDAY" in name/created_at is replaced at seed time
# so the recency case stays true whenever the suite runs. All names, people, and events are synthetic.
YESTERDAY-avery-OxEvA1	avery	OxEvA1	YESTERDAY	success	Fix flaky TestListingHandler_Timeout by pinning the fake clock	TestListingHandler_Timeout in internal/listing failed roughly one run in twenty because the handler read the real clock for its deadline while the test advanced a fake one. Pinned the handler to the injected clock and removed the sleep. Verified with go test -count=200 ./internal/listing/: 200 of 200 runs green. The flake is fixed; no production behavior changed.
2026-09-09T16-20-quinn-OxEvQ9	quinn	OxEvQ9	2026-09-09T16:20:00Z	success	Bump golang.org/x/net and re-run the dependency audit	Routine dependency bump after the weekly advisory scan. No API changes; go test ./... green; audit report attached to the PR.
2026-09-08T11-05-riley-OxEvR8	riley	OxEvR8	2026-09-08T11:05:00Z	success	Release notes for 1.4.2	Drafted the 1.4.2 release notes from the merged PR list. Called out the listing API pagination fix and the new ACME_ARTIFACT_STORE_URL override.
2026-09-05T14-45-sam-OxEvS5	sam	OxEvS5	2026-09-05T14:45:00Z	success	Lint: enable errcheck across cmd/ and fix the fallout	Turned on errcheck, fixed 14 unchecked Close and Write calls. One behavior change: main now exits non-zero when the artifact upload response body cannot be closed.
2026-09-03T09-30-devon-OxEvD3b	devon	OxEvD3b	2026-09-03T09:30:00Z	partial	Investigate nightly compaction window growth	The store's compaction window grew from 2-8s to 4-15s over August. Opened a ticket with the storage team; no code change. Retry policy (ADR-007) still covers the window.
2026-09-01T10-00-avery-OxEvA0	avery	OxEvA0	2026-09-01T10:00:00Z	success	CI: cache Go modules and cut PR build time in half	Added actions/cache for the module and build cache. PR builds went from 6m to 2m40s.
2026-08-28T13-15-quinn-OxEvQ8	quinn	OxEvQ8	2026-08-28T13:15:00Z	success	Document local development setup in README	Wrote the quick-start section: go build, env vars, how to point at a local artifact store. No code change.
2026-08-26T15-40-sam-OxEvS2	sam	OxEvS2	2026-08-26T15:40:00Z	success	Settle configuration precedence and record ADR-012	Riley's staging deploy read a committed .acme/config.toml over the environment. Wrote ADR-012 establishing env > local file > team defaults with no cross-layer merging, and updated config.Load() to log which layer each value came from.
2026-08-25T09-50-riley-OxEvR7	riley	OxEvR7	2026-08-25T09:50:00Z	failure	Staging deploy read a committed config file over the environment	Staging pointed at production for eleven minutes because a committed .acme/config.toml overrode ACME_ARTIFACT_STORE_URL. Rolled back. Escalated to Sam for a precedence decision.
2026-08-22T17-05-devon-OxEvD4	devon	OxEvD4	2026-08-22T17:05:00Z	success	Add jitter tests for the shared retry helper	Table-driven tests for the backoff schedule: 200ms, 400ms, 800ms with full jitter, cap at 3 attempts, no retry on 4xx.
2026-08-20T09-05-devon-OxEvD3	devon	OxEvD3	2026-08-20T09:05:00Z	success	Shared retry helper with capped exponential backoff (ADR-007)	Implemented the retry helper decided in ADR-007: exponential backoff from 200ms, factor 2, full jitter, maximum 3 attempts, never on 4xx. Left the uploader untouched for Avery to migrate.
2026-08-19T15-00-avery-OxEvA5	avery	OxEvA5	2026-08-19T15:00:00Z	success	Reliability review follow-ups	Filed the action items from the reliability review: Devon owns the shared retry helper, Avery migrates the uploader, Riley tracks the compaction window with the storage team.
2026-08-14T10-25-sam-OxEvS4	sam	OxEvS4	2026-08-14T10:25:00Z	success	Rename listing handler options for clarity	Renamed PageOpts to ListingOptions and updated call sites. No behavior change.
2026-08-12T14-22-avery-OxEvA4	avery	OxEvA4	2026-08-12T14:22:00Z	success	Paginated listing API	Added internal/pagination with half-open Bounds and Count, wired into the listing handler. Table-driven tests cover first, middle, last-partial, and beyond-end pages.
2026-08-07T16-40-quinn-OxEvQ7	quinn	OxEvQ7	2026-08-07T16:40:00Z	success	Upgrade Go toolchain to 1.24	Toolchain bump; fixed two vet warnings about copying locks. All tests green.
2026-08-05T11-30-riley-OxEvR5	riley	OxEvR5	2026-08-05T11:30:00Z	success	Investigate 503s from the artifact store during nightly compaction	Traced three on-call pages to the store's compaction window returning 503 for 2-8 seconds. Recommended capped retries at every call site; escalated to the reliability review.
